Country,Basic_Sanitation_Percent
Aruba,97.54348112
Afghanistan,40.70770701
Angola,47.37447934
Albania,97.69103397
Andorra,100.0000024
Arab World,82.35000122
United Arab Emirates,98.57778247
Argentina,94.23485077
Armenia,93.06060679
American Samoa,56.76053271
Antigua and Barbuda,87.50428238
Australia,99.99115238
Austria,99.97670878
Azerbaijan,92.45606505
Burundi,45.87571014
Belgium,99.48606169
Benin,16.01174081
Burkina Faso,18.82599308
Bangladesh,45.74216109
Bulgaria,85.98294162
Bahrain,100
"Bahamas, The",94.93058233
Bosnia and Herzegovina,95.312937
Belarus,97.76497652
Belize,87.21298398
Bermuda,99.90314002
Bolivia,56.90997987
Brazil,86.55409175
Barbados,96.35542276
Brunei Darussalam,96.34904195
Bhutan,67.28510633
Botswana,74.76206577
Central African Republic,25.18311162
Canada,99.36312098
Central Europe and the Baltics,93.93556286
Switzerland,99.89097323
Channel Islands,98.5
Chile,99.63102854
China,81.6754051
Cote d'Ivoire,30.5726952
Cameroon,38.85571305
"Congo, Dem. Rep.",20.44121776
"Congo, Rep.",18.93692796
Colombia,87.54582739
Comoros,35.81526768
Cabo Verde,70.47414843
Costa Rica,97.27143763
Caribbean small states,88.59483667
Cuba,92.43496458
Curacao,98.95027512
Cayman Islands,83.654025
Cyprus,99.25604513
Czech Republic,99.13537863
Germany,99.22485351
Djibouti,61.09122736
Dominica,77.8927615
Denmark,99.59722761
Dominican Republic,83.18475915
Algeria,87.49671674
East Asia & Pacific (excluding high income),79.46538705
Early-demographic dividend,62.84995559
East Asia & Pacific,81.45192317
Europe & Central Asia (excluding high income),93.94206536
Europe & Central Asia,96.35420199
Ecuador,86.09979746
"Egypt, Arab Rep.",93.96543459
Euro area,98.83837151
Eritrea,11.83791262
Spain,99.90433468
Estonia,99.13277561
Ethiopia,6.86379406
European Union,97.80439656
Fragile and conflict affected situations,43.32026011
Finland,99.4478672
Fiji,94.54456731
France,98.65159917
Faroe Islands,90.88347572
"Micronesia, Fed. Sts.",88.30933155
Gabon,47.31676563
United Kingdom,99.11255894
Georgia,90.49064298
Ghana,17.14613673
Gibraltar,100
Guinea,21.06094929
"Gambia, The",39.01341641
Guinea-Bissau,19.82157881
Equatorial Guinea,66.18252256
Greece,98.97597163
Grenada,91.49389213
Greenland,99.59723671
Guatemala,64.97704481
Guam,90.35076551
Guyana,85.34648713
High income,99.01912735
"Hong Kong SAR, China",96.48826531
Honduras,79.21901154
Heavily indebted poor countries (HIPC),25.42381063
Croatia,96.48719979
Haiti,32.50172758
Hungary,97.99545475
IBRD only,75.41320821
IDA & IBRD total,66.42377853
IDA total,39.02781571
IDA blend,47.80262281
Indonesia,69.37641292
IDA only,34.58321194
Isle of Man,
India,54.34514918
Not classified,
Ireland,91.04727904
"Iran, Islamic Rep.",88.28761925
Iraq,90.74158978
Iceland,98.78311465
Israel,100.0000015
Italy,98.77134583
Jamaica,86.94518239
Jordan,97.52729498
Japan,99.91012708
Kazakhstan,97.73782708
Kenya,29.54663237
Kyrgyz Republic,96.54026831
Cambodia,53.38575143
Kiribati,45.35790642
St. Kitts and Nevis,
"Korea, Rep.",100
Kuwait,100
Latin America & Caribbean (excluding high income),85.28099556
Lao PDR,69.38612054
Lebanon,95.35936538
Liberia,16.68808774
Libya,99.86315789
St. Lucia,88.36548654
Latin America & Caribbean,85.83364972
Least developed countries: UN classification,32.7739121
Low income,28.96477629
Liechtenstein,99.95
Sri Lanka,94.43110246
Lower middle income,56.71000573
Low & middle income,66.15163454
Lesotho,39.0626453
Late-demographic dividend,84.80115367
Lithuania,92.26720966
Luxembourg,97.61073912
Latvia,91.41685799
"Macao SAR, China",
St. Martin (French part),
Morocco,87.54453374
Monaco,100
Moldova,75.35244781
Madagascar,9.739278835
Maldives,99.0490103
Middle East & North Africa,90.09562179
Mexico,89.41727522
Marshall Islands,82.96986483
Middle income,70.21423095
North Macedonia,98.13915127
Mali,36.1837947
Malta,99.96175804
Myanmar,65.08818855
Middle East & North Africa (excluding high income),88.46628465
Montenegro,97.73458061
Mongolia,57.98078314
Northern Mariana Islands,78.48237644
Mozambique,26.8693541
Mauritania,43.49986871
Mauritius,95.50608395
Malawi,25.58231452
Malaysia,99.55743568
North America,99.90883994
Namibia,33.90285998
New Caledonia,100
Niger,12.75141462
Nigeria,37.6785349
Nicaragua,73.39253639
Netherlands,97.7353052
Norway,98.05672699
Nepal,55.74051719
Nauru,65.59552643
New Zealand,100
OECD members,97.93585502
Oman,100
Other small states,65.68821514
Pakistan,56.6379614
Panama,81.14136146
Peru,73.34397611
Philippines,74.26398135
Palau,99.99999776
Papua New Guinea,14.13108181
Poland,97.692105
Pre-demographic dividend,32.12386514
Puerto Rico,97.15727148
"Korea, Dem. People’s Rep.",81.66581159
Portugal,99.44206601
Paraguay,87.66634655
West Bank and Gaza,96.91605704
Pacific island small states,69.19187618
Post-demographic dividend,99.17001421
French Polynesia,96.85461383
Qatar,100
Romania,82.80963615
Russian Federation,89.64290869
Rwanda,64.23988414
South Asia,54.08890249
Saudi Arabia,99.80078584
Sudan,35.06823583
Senegal,50.08593779
Singapore,100
Solomon Islands,31.84076868
Sierra Leone,14.93763698
El Salvador,87.01041669
San Marino,100
Somalia,35.69753656
Serbia,97.63535858
Sub-Saharan Africa (excluding high income),29.68425889
South Sudan,9.595679276
Sub-Saharan Africa,29.77434381
Small states,70.17202539
Sao Tome and Principe,41.3628413
Suriname,83.82623292
Slovak Republic,97.925875
Slovenia,99.10932897
Sweden,99.3002379
Eswatini,57.87187848
Sint Maarten (Dutch part),98.78102656
Seychelles,100
Syrian Arab Republic,91.56171823
Turks and Caicos Islands,87.98863636
Chad,8.840377126
East Asia & Pacific (IDA & IBRD countries),79.43858192
Europe & Central Asia (IDA & IBRD countries),93.79235461
Togo,15.29687902
Thailand,97.95530764
Tajikistan,96.12746211
Turkmenistan,97.84790087
Latin America & the Caribbean (IDA & IBRD countries),85.62578733
Timor-Leste,51.32193273
Middle East & North Africa (IDA & IBRD countries),88.36597674
Tonga,93.44962443
South Asia (IDA & IBRD),54.08890249
Sub-Saharan Africa (IDA & IBRD countries),29.77434381
Trinidad and Tobago,93.39890595
Tunisia,90.29608163
Turkey,97.19435746
Tuvalu,84.14021666
Tanzania,26.86948427
Uganda,18.42463657
Ukraine,96.21733034
Upper middle income,83.61107372
Uruguay,96.20479894
United States,99.96960722
Uzbekistan,100
St. Vincent and the Grenadines,87.1843449
"Venezuela, RB",93.93501902
British Virgin Islands,96.85797948
Virgin Islands (U.S.),99.34401679
Vietnam,80.08031187
Vanuatu,38.12974131
World,71.49109747
Samoa,98.06688793
Kosovo,
"Yemen, Rep.",58.49521228
South Africa,73.89208403
Zambia,25.97825783
Zimbabwe,37.56810685
