Country,DALYs (Disability-Adjusted Life Years)_AllCauses
Afghanistan,63274.70776
Albania,23329.70849
Algeria,25247.56276
American Samoa,32260.62964
Andean Latin America,24679.63322
Andorra,17963.82947
Angola,53706.44394
Antigua and Barbuda,24558.21918
Argentina,24763.47182
Armenia,25647.55599
Australasia,19229.70262
Australia,18987.83926
Austria,18994.10176
Azerbaijan,35187.25042
Bahamas,29738.46817
Bahrain,21611.38696
Bangladesh,34465.57367
Barbados,23836.82112
Belarus,28880.10146
Belgium,19910.44665
Belize,30095.12825
Benin,52954.55757
Bermuda,18441.25779
Bhutan,30115.20821
Bolivia,31663.41662
Bosnia and Herzegovina,24617.25322
Botswana,44111.52796
Brazil,28227.30695
Brunei,25783.30998
Bulgaria,26690.34433
Burkina Faso,60428.68513
Burundi,57937.68929
Cambodia,37896.83577
Cameroon,56421.80334
Canada,19440.61236
Cape Verde,29184.68412
Caribbean,33172.65702
Central African Republic,99924.85104
Central Asia,34328.32362
Central Europe,24606.50231
"Central Europe, Eastern Europe, and Central Asia",31746.68771
Central Latin America,25601.56264
Central Sub-Saharan Africa,60164.89843
Chad,65492.24321
Chile,21816.2601
China,23340.27391
Colombia,21688.07758
Comoros,39404.0606
Congo,54950.09428
Costa Rica,20488.73072
Cote d'Ivoire,58097.13243
Croatia,22714.44288
Cuba,21253.57516
Cyprus,18530.42709
Czech Republic,21717.02042
Democratic Republic of Congo,60856.7874
Denmark,19297.93662
Djibouti,41637.72917
Dominica,32790.41735
Dominican Republic,31526.85737
East Asia,23430.48626
Eastern Europe,34039.92857
Eastern Sub-Saharan Africa,50991.55718
Ecuador,25781.04278
Egypt,36215.90754
El Salvador,32742.40035
England,19867.23475
Equatorial Guinea,48540.27519
Eritrea,60593.33598
Estonia,23684.49249
Ethiopia,43274.53826
Fiji,40229.72978
Finland,19473.31116
France,18144.9921
Gabon,45510.24787
Gambia,48663.14197
Georgia,29296.9375
Germany,19554.64201
Ghana,48514.91032
Greece,19689.15274
Greenland,30811.70122
Grenada,27820.18475
Guam,30028.74053
Guatemala,32214.53821
Guinea,63420.04066
Guinea-Bissau,65661.4056
Guyana,38628.79159
Haiti,51445.16551
High SDI,20000.21902
High-income,20226.5765
High-income Asia Pacific,16523.34595
High-middle SDI,25797.94849
Honduras,32200.69195
Hungary,25950.0604
Iceland,17671.59016
India,40773.18631
Indonesia,33612.49617
Iran,27906.5178
Iraq,30561.18666
Ireland,18875.72889
Israel,17783.98721
Italy,17465.50863
Jamaica,28409.90119
Japan,16262.69543
Jordan,24092.78006
Kazakhstan,32502.77594
Kenya,47944.53987
Kiribati,54895.67745
Kuwait,19033.5266
Kyrgyzstan,32201.0529
Laos,43987.04107
Latin America and Caribbean,27113.31017
Latvia,27436.30864
Lebanon,24668.66358
Lesotho,90403.288
Liberia,57066.89249
Libya,31305.37981
Lithuania,28168.71712
Low SDI,49545.78066
Low-middle SDI,43328.61331
Luxembourg,19310.27186
Macedonia,24111.81719
Madagascar,53466.75792
Malawi,56319.32192
Malaysia,25838.48095
Maldives,18792.13685
Mali,61825.0832
Malta,19140.32831
Marshall Islands,48394.74207
Mauritania,37552.12164
Mauritius,28280.59898
Mexico,25571.05552
Micronesia (country),42049.57454
Middle SDI,28636.19206
Moldova,32842.25924
Mongolia,38621.57477
Montenegro,24069.81715
Morocco,32161.50537
Mozambique,71755.12549
Myanmar,40892.61273
Namibia,47394.69384
Nepal,37759.74866
Netherlands,18711.01309
New Zealand,20500.57684
Nicaragua,23780.59825
Niger,57528.42025
Nigeria,56809.56804
North Africa and Middle East,32507.03201
North America,23446.13345
North Korea,32476.0107
Northern Ireland,20502.73859
Northern Mariana Islands,24819.51302
Norway,18790.49296
Oceania,59082.28842
Oman,25901.03457
Pakistan,47618.4566
Palestine,27060.73917
Panama,23199.81224
Papua New Guinea,65662.9737
Paraguay,26450.05845
Peru,21914.72267
Philippines,37650.36722
Poland,23591.71254
Portugal,18952.82552
Puerto Rico,20499.83086
Qatar,21794.1312
Romania,27036.72046
Russia,33654.45847
Rwanda,42154.83421
Saint Lucia,26679.26105
Saint Vincent and the Grenadines,31460.816
Samoa,30255.56669
Sao Tome and Principe,37928.93598
Saudi Arabia,25848.20716
Scotland,21751.05127
Senegal,42739.46934
Serbia,26291.4122
Seychelles,28165.83125
Sierra Leone,67203.42667
Singapore,15163.52511
Slovakia,24449.40477
Slovenia,20060.08361
Solomon Islands,45752.73771
Somalia,63201.02385
South Africa,51775.17845
South Asia,41056.47089
South Korea,17554.43882
South Sudan,67689.77794
Southeast Asia,31842.96141
"Southeast Asia, East Asia, and Oceania",26265.14154
Southern Latin America,23917.95296
Southern Sub-Saharan Africa,54355.7342
Spain,17284.56885
Sri Lanka,23395.13601
Sub-Saharan Africa,55251.44594
Sudan,40933.07202
Suriname,33074.77719
Swaziland,73841.98861
Sweden,18263.57589
Switzerland,17485.39446
Syria,45749.75031
Taiwan,19478.0535
Tajikistan,35751.67349
Tanzania,46906.78232
Thailand,23521.87541
Timor,35344.59578
Togo,53078.73907
Tonga,32881.48997
Trinidad and Tobago,28789.73765
Tropical Latin America,28150.10204
Tunisia,23974.05185
Turkey,23830.81438
Turkmenistan,35436.37132
Uganda,49575.58184
Ukraine,37431.74918
United Arab Emirates,31278.35203
United Kingdom,20067.5041
United States,23901.78461
United States Virgin Islands,27380.90098
Uruguay,24004.99094
Uzbekistan,36480.60819
Vanuatu,48353.86273
Venezuela,27535.96087
Vietnam,26840.97844
Wales,20252.78755
Western Europe,18709.80802
Western Sub-Saharan Africa,56909.3389
World,34034.3946
Yemen,43427.31254
Zambia,54721.21854
Zimbabwe,61121.39843
