Country,Agriculture_Fishing_Forestry_Value__Percent,Services_Value_Percent,Industry_Value_Percent,Manufacturing_Value_Percent,Adjusted savings: carbon dioxide damage (% of GNI),Adjusted savings: education expenditure (% of GNI),Adjusted savings: natural resources depletion (% of GNI),Exports of goods and services (% of GDP)
Aruba,,,,,0.974689431,6.771068723,0.00139064,73.51703023
Afghanistan,20.63432272,,22.12404249,11.420006,1.363878084,2.594447297,0.233153393,7.119569064
Angola,9.122534471,53.2352935,41.93309265,5.685144864,0.950798588,3.57,8.765672552,29.75459949
Albania,19.78022452,48.65988909,21.76366248,5.671490638,1.215027825,3.124241055,1.141053604,27.26740028
Andorra,,46.28434792,,,,2.44,,
Arab World,5.395330955,,41.41547438,12.79845736,2.361930722,4.965719919,6.293932201,43.98322223
United Arab Emirates,0.740999247,52.26907379,43.89381417,8.833294938,1.64095794,,4.074126434,100.8704802
Argentina,5.156685902,55.36508545,23.15305614,14.18158545,1.046877095,5.260926986,1.058071829,10.70565205
Armenia,17.22312003,55.81490128,25.70869944,9.206171059,1.326329821,2.696448987,2.101907328,29.72799648
American Samoa,,48.21266939,,,,11.760709,,64.59909228
Antigua and Barbuda,1.612326721,,16.45797948,2.682962647,1.310782751,2.25,,45.05101314
Australia,2.372644114,69.88088344,23.64420556,6.290282968,0.836603773,5.007328404,2.012305341,19.98484551
Austria,1.129790194,67.2907994,25.17491325,16.69003646,0.491350603,5.208469308,0.056162722,53.08906056
Azerbaijan,6.177638838,62.8806356,44.89132034,4.990805443,2.233239821,3.001922302,9.413705125,37.79477749
Burundi,30.68083011,40.65042295,11.76494577,8.675460283,0.394183816,5.175521639,15.5856724,5.732968591
Belgium,0.68641478,49.36541366,19.66988832,12.69333388,0.642697651,6.123215164,0.001124438,77.80528215
Benin,26.39208509,69.2286131,16.38509544,10.03567008,1.628081601,4.027134009,1.284099525,24.72045121
Burkina Faso,22.63307521,49.2408969,24.35081157,11.62132749,0.891788466,4.31,13.32697333,26.10764554
Bangladesh,14.78299644,44.08181423,26.83139483,16.78867356,1.183300254,1.433232111,0.810687314,17.33667379
Bulgaria,4.024047647,53.71383194,23.68436978,,2.765480713,3.86451013,0.742718184,63.99073245
Bahrain,0.315466039,58.62536134,40.2986503,17.342942,3.393479122,2.91,4.674944451,82.90638896
"Bahamas, The",0.821115867,58.45332777,11.80024336,2.462496703,0.538804286,3.8356,0,35.10036333
Bosnia and Herzegovina,6.238167455,77.74903636,22.53746915,11.67037957,3.449769606,,0.33326197,34.87107111
Belarus,6.283296561,56.26442751,32.69242811,20.6443546,3.274979556,4.770348815,0.41001838,58.01076657
Belize,12.85601868,47.7421763,14.16092644,7.048227753,1.078869903,6.39,0.565075744,58.81546583
Bermuda,,60.11365008,,,,2.1,,
Bolivia,10.23949424,,25.20241623,10.1911908,1.909554606,6.08,4.738679968,30.86829588
Brazil,4.319132751,45.97640009,19.36004398,10.52092077,0.864867116,6.109580291,1.589985266,12.90019142
Barbados,,62.30786717,,,0.844630297,5.690537188,0.084885521,41.44317815
