Country,GDP_Growth_Annual
Aruba,5.700000876
Afghanistan,1.451314655
Angola,0.943575613
Albania,2.218752232
Andorra,1.434140395
Arab World,3.173547388
United Arab Emirates,5.105936984
Argentina,2.731159828
Armenia,3.2
American Samoa,1.404056162
Antigua and Barbuda,3.825293099
Australia,2.192640028
Austria,1.014501586
Azerbaijan,1.049546368
Burundi,-3.900003086
Belgium,2.032788973
Benin,1.77815106
Burkina Faso,3.9125572
Bangladesh,6.552639879
Bulgaria,3.989526269
Bahrain,2.863047304
"Bahamas, The",0.5975763
Bosnia and Herzegovina,3.088227143
Belarus,-3.829570558
Belize,2.849642368
Bermuda,
Bolivia,4.857188015
Brazil,-3.545763393
Barbados,2.448701961
Brunei Darussalam,-0.392383488
Bhutan,6.642232105
Botswana,-1.697965616
Central African Republic,4.33712103
Canada,0.659176889
Central Europe and the Baltics,3.927453613
Switzerland,1.333369082
Channel Islands,
Chile,2.303767036
China,7.041856201
Cote d'Ivoire,8.84285995
Cameroon,5.651463744
"Congo, Dem. Rep.",6.91618781
"Congo, Rep.",2.646485877
Colombia,2.955901375
Comoros,1.116140583
Cabo Verde,1.006863707
Costa Rica,3.631731442
Caribbean small states,1.143925819
Cuba,4.438141959
Curacao,0.278694931
Cayman Islands,2.833122226
Cyprus,3.374668503
Czech Republic,5.309238518
Germany,1.739749823
Djibouti,7.696085576
Dominica,-2.691108924
Denmark,2.34259043
Dominican Republic,6.927018772
Algeria,3.700000001
East Asia & Pacific (excluding high income),6.620706029
Early-demographic dividend,4.622960157
East Asia & Pacific,4.199749197
Europe & Central Asia (excluding high income),0.843161461
Europe & Central Asia,2.075784142
Ecuador,0.098872608
"Egypt, Arab Rep.",4.372019079
Euro area,2.113562951
Eritrea,
Spain,3.83517266
Estonia,1.84488518
Ethiopia,10.39246302
European Union,2.356600385
Fragile and conflict affected situations,2.031372475
Finland,0.543559262
Fiji,4.663808104
France,1.112912341
Faroe Islands,
"Micronesia, Fed. Sts.",4.621884004
Gabon,3.878899395
United Kingdom,2.355524306
Georgia,3.02220738
Ghana,2.178206744
Gibraltar,
Guinea,3.825922386
"Gambia, The",4.058073804
Guinea-Bissau,6.134082941
Equatorial Guinea,-9.110041149
Greece,-0.437833938
Grenada,6.443143733
Greenland,-2.529318024
Guatemala,4.092170577
Guam,0.464666021
Guyana,3.05486454
High income,2.338297568
"Hong Kong SAR, China",2.387811327
Honduras,3.840079971
Heavily indebted poor countries (HIPC),4.941254543
Croatia,2.437170928
Haiti,1.224329778
Hungary,3.845557706
IBRD only,3.911307814
IDA & IBRD total,3.917988894
IDA total,4.011456995
IDA blend,3.906069147
Indonesia,4.8763223
IDA only,4.117683278
Isle of Man,-0.900000388
India,7.996253444
Not classified,
Ireland,25.16253305
"Iran, Islamic Rep.",-1.32064512
Iraq,2.477664617
Iceland,4.748984991
Israel,2.290092123
Italy,0.778304351
Jamaica,0.92268214
Jordan,2.391695959
Japan,1.222921041
Kazakhstan,1.2
Kenya,5.718507133
Kyrgyz Republic,3.875825443
Cambodia,7.036087179
Kiribati,10.40540793
St. Kitts and Nevis,1.031663672
"Korea, Rep.",2.809103268
Kuwait,0.593019617
Latin America & Caribbean (excluding high income),-0.06697345
Lao PDR,7.270065843
Lebanon,0.211611959
Liberia,0
Libya,-8.862039363
St. Lucia,-1.360484662
Latin America & Caribbean,0.090086853
Least developed countries: UN classification,3.634922939
Low income,2.091299026
Liechtenstein,
Sri Lanka,5.007683305
Lower middle income,5.655934957
Low & middle income,3.947673049
Lesotho,2.650144247
Late-demographic dividend,3.974405052
Lithuania,2.033148074
Luxembourg,4.306432538
Latvia,3.260524381
"Macao SAR, China",-21.59453159
St. Martin (French part),
Morocco,4.536378168
Monaco,4.899999169
Moldova,-0.338235296
Madagascar,3.132295888
Maldives,2.88454853
Middle East & North Africa,2.375418722
Mexico,3.287991599
Marshall Islands,1.591288446
Middle income,3.975330679
North Macedonia,3.85586514
Mali,6.167479219
Malta,10.85764213
Myanmar,6.99284029
Middle East & North Africa (excluding high income),0.737439206
Montenegro,3.390359875
Mongolia,2.379835807
Northern Mariana Islands,3.522012579
Mozambique,6.72327878
Mauritania,5.376339237
Mauritius,3.55307173
Malawi,2.799999999
Malaysia,5.091515724
North America,2.661174934
Namibia,4.526770001
New Caledonia,
Niger,4.367782715
Nigeria,2.652693295
Nicaragua,4.79144082
Netherlands,1.959169691
Norway,1.967128438
Nepal,3.322905439
Nauru,3.703703704
New Zealand,3.618967819
OECD members,2.423075336
Oman,4.677685594
Other small states,2.729105327
Pakistan,4.731147475
Panama,5.732763632
Peru,3.252244772
Philippines,6.348309717
Palau,10.07512757
Papua New Guinea,9.483548441
Poland,3.839071339
Pre-demographic dividend,3.069814003
Puerto Rico,-1.049443651
"Korea, Dem. People’s Rep.",
Portugal,1.792046853
Paraguay,3.080374008
West Bank and Gaza,3.428732254
Pacific island small states,4.084451551
Post-demographic dividend,2.111273073
French Polynesia,
Qatar,3.657510261
Romania,3.871522323
Russian Federation,-1.972719226
Rwanda,8.868309542
South Asia,7.480328785
Saudi Arabia,4.10640887
Sudan,4.906041879
Senegal,6.367043651
Singapore,2.988520676
Solomon Islands,2.542239607
Sierra Leone,-20.59877072
El Salvador,2.395028298
San Marino,2.475685234
Somalia,
Serbia,1.776320973
Sub-Saharan Africa (excluding high income),2.837909653
South Sudan,-10.79336463
Sub-Saharan Africa,2.844416825
Small states,2.521093066
Sao Tome and Principe,3.798398418
Suriname,-3.411095864
Slovak Republic,4.821918506
Slovenia,2.210081624
Sweden,4.489281588
Eswatini,2.312465616
Sint Maarten (Dutch part),0.50906595
Seychelles,4.937386459
Syrian Arab Republic,
Turks and Caicos Islands,5.941270828
Chad,2.767675685
East Asia & Pacific (IDA & IBRD countries),6.62101494
Europe & Central Asia (IDA & IBRD countries),1.376796341
Togo,5.742868453
Thailand,3.133896962
Tajikistan,6.008287872
Turkmenistan,6.49999991
Latin America & the Caribbean (IDA & IBRD countries),0.045125232
Timor-Leste,3.055989984
Middle East & North Africa (IDA & IBRD countries),0.716370726
Tonga,3.71184687
South Asia (IDA & IBRD),7.480328785
Sub-Saharan Africa (IDA & IBRD countries),2.844416825
Trinidad and Tobago,1.823184697
Tunisia,1.194541753
