Country,Indicator Name,2015-data
Aruba,"Annualized average growth rate in per capita real survey mean consumption or income, total population (%)",
Aruba,"Survey mean consumption or income per capita, total population (2011 PPP $ per day)",
Aruba,"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",
Aruba,"Survey mean consumption or income per capita, bottom 40% of population (2011 PPP $ per day)",
Aruba,Poverty gap at $5.50 a day (2011 PPP) (%),
Aruba,Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),
Aruba,Poverty headcount ratio at national poverty lines (% of population),
Aruba,Multidimensional poverty index (scale 0-1),
Aruba,"Multidimensional poverty headcount ratio, male (% of male population)",
Aruba,Multidimensional poverty intensity (average share of deprivations experienced by the poor),
Aruba,"Multidimensional poverty headcount ratio, household (% of total households)",
Aruba,"Multidimensional poverty headcount ratio, female (% of female population)",
Aruba,"Multidimensional poverty index, children (population ages 0-17) (scale 0-1)",
Aruba,"Multidimensional poverty headcount ratio, children (% of population ages 0-17)",
Aruba,Multidimensional poverty headcount ratio (% of total population),
Aruba,Poverty gap at $3.20 a day (2011 PPP) (%),
Aruba,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),
Aruba,Gini index (World Bank estimate),
Aruba,Poverty gap at $1.90 a day (2011 PPP) (%),
Aruba,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),
Aruba,Income share held by lowest 20%,
Aruba,Income share held by lowest 10%,
Aruba,Proportion of people living below 50 percent of median income (%),
Aruba,Income share held by highest 10%,
Aruba,Income share held by highest 20%,
Aruba,Income share held by fourth 20%,
Aruba,Income share held by third 20%,
Aruba,Income share held by second 20%,
Aruba,Population living in slums (% of urban population),
Afghanistan,"Annualized average growth rate in per capita real survey mean consumption or income, total population (%)",
Afghanistan,"Survey mean consumption or income per capita, total population (2011 PPP $ per day)",
Afghanistan,"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",
Afghanistan,"Survey mean consumption or income per capita, bottom 40% of population (2011 PPP $ per day)",
Afghanistan,Poverty gap at $5.50 a day (2011 PPP) (%),
Afghanistan,Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),
Afghanistan,Poverty headcount ratio at national poverty lines (% of population),
Afghanistan,Multidimensional poverty index (scale 0-1),
Afghanistan,"Multidimensional poverty headcount ratio, male (% of male population)",
Afghanistan,Multidimensional poverty intensity (average share of deprivations experienced by the poor),
Afghanistan,"Multidimensional poverty headcount ratio, household (% of total households)",
Afghanistan,"Multidimensional poverty headcount ratio, female (% of female population)",
Afghanistan,"Multidimensional poverty index, children (population ages 0-17) (scale 0-1)",
Afghanistan,"Multidimensional poverty headcount ratio, children (% of population ages 0-17)",
Afghanistan,Multidimensional poverty headcount ratio (% of total population),
Afghanistan,Poverty gap at $3.20 a day (2011 PPP) (%),
Afghanistan,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),
Afghanistan,Gini index (World Bank estimate),
